address,postal_code,capacity,city,close,cost_per_unit,country,latitude,longitude,open,payment_modes,staff,available,charger_type,"if_battery_swap_station,_no._of_dockets",id,vendor,charging_type,contact_number,name,coordinates,timing,no_of_chargers,station_type
B 8 MAIN ROAD JOHRI PUR EXTANSION OPP LALIT BUILDER NEAHDFCR BANK ATM DELHI,110094.0,3.3 KW,Delhi,23:59:59,40.0,India,28.7122329865951,77.2879124432802,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015196,Revos,Charging,,,"{'latitude': 28.7122329865951, 'longitude': 77.2879124432802}",24 hours,1.0,Charging Station
B-8 JOHRI PUR EXTANSION OPP LALIT BUILDER NEAR HDFC BANK ATM DELHI,110094.0,3.3 KW,Delhi,23:59:59,40.0,India,28.712478519548,77.287827283144,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015221,Revos,Charging,,,"{'latitude': 28.712478519548, 'longitude': 77.287827283144}",24 hours,1.0,Charging Station
7724 Fasih Building Clock Tower Delhi 110007,110052.0,3.3 KW,New Delhi,23:59:59,90.0,India,28.6860917523024,77.185731343925,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015193,Revos,Charging,,,"{'latitude': 28.6860917523024, 'longitude': 77.185731343925}",24 hours,1.0,Charging Station
B-8 JOHRI PUR EXTANSION OPP LALIT BUILDER NEAR HDFC BANK ATM DELHI,110094.0,3.3 KW,Delhi,23:59:59,40.0,India,28.7130386853849,77.2867406532168,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015225,Revos,Charging,,,"{'latitude': 28.7130386853849, 'longitude': 77.2867406532168}",24 hours,1.0,Charging Station
57 tanchua mohlla village chilla ,110091.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5957625784409,77.299471758306,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005861,Revos,Charging,,,"{'latitude': 28.5957625784409, 'longitude': 77.299471758306}",24 hours,1.0,Charging Station
B 6 upon 4 Okhla phase ii,110020.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5337042815031,77.2764889150857,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015364,Revos,Charging,,,"{'latitude': 28.5337042815031, 'longitude': 77.2764889150857}",24 hours,1.0,Charging Station
B 6 upon 4 Okhla phase ii,110020.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5337033978464,77.2764872387051,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015079,Revos,Charging,,,"{'latitude': 28.5337033978464, 'longitude': 77.2764872387051}",24 hours,1.0,Charging Station
Main road Tahir pur h no 136,110093.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6867279432715,77.3190756887197,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005194,Revos,Charging,,,"{'latitude': 28.6867279432715, 'longitude': 77.3190756887197}",24 hours,1.0,Charging Station
"C-9/12, Som Bazar, Jeevan Park, (back side of pradhanmantri Jan Ausdi Kendra) Pankha Road Uttam Nagar, New Delhi -110059",110058.0,3.3 KW,New Delhi,23:59:59,13.0,India,28.619262254674,77.0726748928427,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00012624,Revos,Charging,,,"{'latitude': 28.619262254674, 'longitude': 77.0726748928427}",24 hours,1.0,Charging Station
Near CNN pump tahirpur  Delhi  110095,110095.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6858232156108,77.3182629793882,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003993,Revos,Charging,,,"{'latitude': 28.6858232156108, 'longitude': 77.3182629793882}",24 hours,1.0,Charging Station
house no 10 A main road chattarpur gaon,110074.0,3.3 KW,New Delhi,23:59:59,15.0,India,28.5012019124516,77.1832690760493,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015369,Revos,Charging,,,"{'latitude': 28.5012019124516, 'longitude': 77.1832690760493}",24 hours,1.0,Charging Station
C 81 radhy shyam park extension gali no 4 near jagatpuri police station,110051.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.6437688772892,77.2851457446813,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015175,Revos,Charging,,,"{'latitude': 28.6437688772892, 'longitude': 77.2851457446813}",24 hours,1.0,Charging Station
Chhawla village main bus stand,110071.0,3.3 KW,New Delhi,23:59:59,15.0,India,28.5611376608297,77.0023530721664,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015165,Revos,Charging,,,"{'latitude': 28.5611376608297, 'longitude': 77.0023530721664}",24 hours,1.0,Charging Station
A 29 gali no 4 Om nagar Mithapur badarpur,110044.0,3.3 KW,New Delhi,23:59:59,10.0,India,28.4967367973333,77.3249229043722,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015691,Revos,Charging,,,"{'latitude': 28.4967367973333, 'longitude': 77.3249229043722}",24 hours,1.0,Charging Station
RZ 1912 Gali no 25 tughlakabad extension ,110019.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.5211432364717,77.2557108476758,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015174,Revos,Charging,,,"{'latitude': 28.5211432364717, 'longitude': 77.2557108476758}",24 hours,1.0,Charging Station
38/5/2 Aram park shastri nagar laxmi nagar road,110031.0,3.3 KW,New Delhi,23:59:59,100.0,India,28.6448187347789,77.2792683541774,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015306,Revos,Charging,,,"{'latitude': 28.6448187347789, 'longitude': 77.2792683541774}",24 hours,1.0,Charging Station
38/5/2 Aram park shastri nagar laxmi nagar road ,110031.0,3.3 KW,New Delhi,23:59:59,20.0,India,28.644766948333,77.2792375087738,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015217,Revos,Charging,,,"{'latitude': 28.644766948333, 'longitude': 77.2792375087738}",24 hours,1.0,Charging Station
C 150 main mathura road badarpur near axis bank and jaitpur mod ,110044.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.4979858346435,77.3024691268801,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015162,Revos,Charging,,,"{'latitude': 28.4979858346435, 'longitude': 77.3024691268801}",24 hours,1.0,Charging Station
shop no 1 meethapur village near primery school,110044.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.4986193345883,77.3163897916674,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015097,Revos,Charging,,,"{'latitude': 28.4986193345883, 'longitude': 77.3163897916674}",24 hours,1.0,Charging Station
A121 double story kalkaji,110019.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.5437524519712,77.2505016624927,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015171,Revos,Charging,,,"{'latitude': 28.5437524519712, 'longitude': 77.2505016624927}",24 hours,1.0,Charging Station
godawn no 731 mb road Lal kuan delhi 110044,110044.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.504421722485,77.2784465923905,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015142,Revos,Charging,,,"{'latitude': 28.504421722485, 'longitude': 77.2784465923905}",24 hours,1.0,Charging Station
Qtr no 874 Rkpuram sector 6 ,110022.0,3.3 KW,New Delhi,23:59:59,10.0,India,28.5660287856148,77.1716235950589,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00010461,Revos,Charging,,,"{'latitude': 28.5660287856148, 'longitude': 77.1716235950589}",24 hours,1.0,Charging Station
b 113 1 amritpuri b garhi,110065.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.5565119376816,77.253121510148,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015156,Revos,Charging,,,"{'latitude': 28.5565119376816, 'longitude': 77.253121510148}",24 hours,1.0,Charging Station
MBR Enclave pochanpur sector 23 dwarka ,110061.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5594182042077,77.0504239574074,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015324,Revos,Charging,,,"{'latitude': 28.5594182042077, 'longitude': 77.0504239574074}",24 hours,1.0,Charging Station
34 apna bazar nehru nagar new delhi,110065.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5714175937296,77.2551968693733,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015164,Revos,Charging,,,"{'latitude': 28.5714175937296, 'longitude': 77.2551968693733}",24 hours,1.0,Charging Station
34 apna bazar nehru nagar new delhi ,110065.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5715715892715,77.2551365196704,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015090,Revos,Charging,,,"{'latitude': 28.5715715892715, 'longitude': 77.2551365196704}",24 hours,1.0,Charging Station
MBR Enclave near mata mandir dwarka ,110077.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5593316269541,77.0505959540605,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015323,Revos,Charging,,,"{'latitude': 28.5593316269541, 'longitude': 77.0505959540605}",24 hours,1.0,Charging Station
21 block trilokpuri ,110091.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.6056414599338,77.3062973096966,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015095,Revos,Charging,,,"{'latitude': 28.6056414599338, 'longitude': 77.3062973096966}",24 hours,1.0,Charging Station
4773A Roshanara road,110007.0,3.3 KW,Delhi,23:59:59,40.0,India,28.670862016457,77.2023630514741,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015173,Revos,Charging,,,"{'latitude': 28.670862016457, 'longitude': 77.2023630514741}",24 hours,1.0,Charging Station
"House No. 71B, Block A, Krishan Vihar, Opp. Budh Vihar",110041.0,3.3 KW,New Delhi,23:59:59,10.0,India,28.7047008730012,77.0850871503353,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00013948,Revos,Charging,,,"{'latitude': 28.7047008730012, 'longitude': 77.0850871503353}",24 hours,1.0,Charging Station
Shop No 6 Roop Nagar Delhi 110007,110007.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.6832972310764,77.197473719716,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015100,Revos,Charging,,,"{'latitude': 28.6832972310764, 'longitude': 77.197473719716}",24 hours,1.0,Charging Station
Shop No 6 Roop Nagar Delhi ,110007.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.6832698766952,77.197370454669,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005202,Revos,Charging,,,"{'latitude': 28.6832698766952, 'longitude': 77.197370454669}",24 hours,1.0,Charging Station
"BSES RAJADHANI POWER LIMITED  \noffice of division head (o&m)\ndevision - new friends colony , new delhi",110025.0,3.3 KW,New Delhi,23:59:59,,India,28.556767847845,77.2732276841998,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_003373,Revos,Charging,,,"{'latitude': 28.556767847845, 'longitude': 77.2732276841998}",24 hours,1.0,Charging Station
B 23 Bate 3,110020.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5345767416217,77.2761767730116,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015099,Revos,Charging,,,"{'latitude': 28.5345767416217, 'longitude': 77.2761767730116}",24 hours,1.0,Charging Station
Harmony Apartments  Sector 4  pocket 1  Dwarka,110075.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.598089321143,77.0506308227777,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015318,Revos,Charging,,,"{'latitude': 28.598089321143, 'longitude': 77.0506308227777}",24 hours,1.0,Charging Station
A-88,110020.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.534385284078,77.2761687263846,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015167,Revos,Charging,,,"{'latitude': 28.534385284078, 'longitude': 77.2761687263846}",24 hours,1.0,Charging Station
"217, Main Chhatarpur Rd",110095.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.6844696390207,77.327311746776,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015198,Revos,Charging,,,"{'latitude': 28.6844696390207, 'longitude': 77.327311746776}",24 hours,1.0,Charging Station
Shop No. 2 Prop No. C-21 Dilshad Colony,110095.0,3.3 KW,Delhi,23:59:59,40.0,India,28.6844040480549,77.3272933065891,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005199,Revos,Charging,,,"{'latitude': 28.6844040480549, 'longitude': 77.3272933065891}",24 hours,1.0,Charging Station
296 main natura roads ,110044.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5037334550978,77.3005067557096,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015319,Revos,Charging,,,"{'latitude': 28.5037334550978, 'longitude': 77.3005067557096}",24 hours,1.0,Charging Station
296 main matura road ,110044.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.5036321002745,77.3003424704074,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015325,Revos,Charging,,,"{'latitude': 28.5036321002745, 'longitude': 77.3003424704074}",24 hours,1.0,Charging Station
16/ 124 geeta colony ,110031.0,3.3 KW,Delhi,23:59:59,15.0,India,28.6472091222168,77.2788861393928,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015285,Revos,Charging,,,"{'latitude': 28.6472091222168, 'longitude': 77.2788861393928}",24 hours,1.0,Charging Station
komaki,110037.0,3.3 KW,New Delhi,23:59:59,45.0,India,28.5183787926139,77.0819834992289,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_005953,Revos,Charging,,,"{'latitude': 28.5183787926139, 'longitude': 77.0819834992289}",24 hours,1.0,Charging Station
206 jeewan nagar new delhi 110014 near tikona park opp maharani  bagh,110014.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.5773511174753,77.2619315609335,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00014713,Revos,Charging,,,"{'latitude': 28.5773511174753, 'longitude': 77.2619315609335}",24 hours,1.0,Charging Station
206 jeewan nagar new delhi 110014 near tikona park opp maharani  bagh,110014.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.5772992977559,77.2617619112134,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00014718,Revos,Charging,,,"{'latitude': 28.5772992977559, 'longitude': 77.2617619112134}",24 hours,1.0,Charging Station
saidulajaib opp vidya niketan school mb road saket,110044.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.5202665408969,77.202801592648,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00014705,Revos,Charging,,,"{'latitude': 28.5202665408969, 'longitude': 77.202801592648}",24 hours,1.0,Charging Station
ekta bike  scooty spares rashid market patpargang road delhi 51,110051.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.6480220886905,77.2793126106262,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_001440,Revos,Charging,,,"{'latitude': 28.6480220886905, 'longitude': 77.2793126106262}",24 hours,1.0,Charging Station
ekta bike  scooty spares rashid market patpargang road delhi 51,110051.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.647777875754,77.2792747244238,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015286,Revos,Charging,,,"{'latitude': 28.647777875754, 'longitude': 77.2792747244238}",24 hours,1.0,Charging Station
F2 185 main road ratiya Marg sangam vihar,110080.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.500237836015,77.2463707253336,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015313,Revos,Charging,,,"{'latitude': 28.500237836015, 'longitude': 77.2463707253336}",24 hours,1.0,Charging Station
k19 ,110080.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.4982466013604,77.2456059604883,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015314,Revos,Charging,,,"{'latitude': 28.4982466013604, 'longitude': 77.2456059604883}",24 hours,1.0,Charging Station
Shop no12 new govind pura bhagat singh road,110051.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.6486691031071,77.2814194858074,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00014570,Revos,Charging,,,"{'latitude': 28.6486691031071, 'longitude': 77.2814194858074}",24 hours,1.0,Charging Station
Shop no12 new govind pura bhagat singh road,110051.0,3.3 KW,New Delhi,23:59:59,30.0,India,28.6487100011102,77.2812240198254,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00014700,Revos,Charging,,,"{'latitude': 28.6487100011102, 'longitude': 77.2812240198254}",24 hours,1.0,Charging Station
6 /154 Geeta Colony Delhi 31,110031.0,3.3 KW,New Delhi,23:59:59,15.0,India,28.6542331446229,77.2740987315774,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015307,Revos,Charging,,,"{'latitude': 28.6542331446229, 'longitude': 77.2740987315774}",24 hours,1.0,Charging Station
6/154 Geeta Colony ,110031.0,3.3 KW,New Delhi,23:59:59,15.0,India,28.6541328173675,77.2741476818919,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015280,Revos,Charging,,,"{'latitude': 28.6541328173675, 'longitude': 77.2741476818919}",24 hours,1.0,Charging Station
B147C main Sharma market pheladpur,110044.0,3.3 KW,New Delhi,23:59:59,40.0,India,28.499710713481,77.2933147475123,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015157,Revos,Charging,,,"{'latitude': 28.499710713481, 'longitude': 77.2933147475123}",24 hours,1.0,Charging Station
D-18/241 main road Brijpuri near Arun morden public school,110094.0,3.3 KW,Delhi,23:59:59,45.0,India,28.7068884588629,77.2759836539626,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00014701,Revos,Charging,,,"{'latitude': 28.7068884588629, 'longitude': 77.2759836539626}",24 hours,1.0,Charging Station
A10 main road chhatarpur gaon ,110074.0,3.3 KW,New Delhi,23:59:59,50.0,India,28.5011662606375,77.1830105781555,00:00:00,E-Wallet/Card/UPI,Unstaffed,1.0,BOLT 16A LITE 240V 5A/15A Socket,NILL,BOLT_00015362,Revos,Charging,,,"{'latitude': 28.5011662606375, 'longitude': 77.1830105781555}",24 hours,1.0,Charging Station
"NDMC Parking, Khan Market, New Delhi, 110003",110003.0,15 KW,Delhi,23:59:00,9.5,India,28.600324,77.226883,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.600324, 'longitude': 77.226883}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Khan Market, New Delhi, 110003",110003.0,15 KW,Delhi,23:59:00,9.5,India,28.600324,77.226883,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.600324, 'longitude': 77.226883}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Prithviraj Market, Prithviraj Ln, New Delhi, Delhi- 110003",110003.0,15 KW,Delhi,23:59:00,9.5,India,28.600735,77.226277,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.600735, 'longitude': 77.226277}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Outside RWA Park, Jor Bagh Market, \xa0Jor Bagh Colony Road, New Delhi- 110003",110003.0,15 KW,Delhi,23:59:00,9.5,India,28.588117,77.217564,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.588117, 'longitude': 77.217564}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",110003.0,15 KW,Delhi,23:59:00,9.5,India,28.580532,77.221048,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.580532, 'longitude': 77.221048}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",110003.0,15 KW,Delhi,23:59:00,9.5,India,28.584365,77.22054,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.584365, 'longitude': 77.22054}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023",110023.0,15 KW,Delhi,23:59:00,9.5,India,28.577259,77.19692,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.577259, 'longitude': 77.19692}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021",110021.0,15 KW,Delhi,23:59:00,9.5,India,28.585298,77.191008,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.585298, 'longitude': 77.191008}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021",110021.0,15 KW,Delhi,23:59:00,9.5,India,28.601809,77.186432,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.601809, 'longitude': 77.186432}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021",110021.0,15 KW,Delhi,23:59:00,9.5,India,28.601809,77.186432,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.601809, 'longitude': 77.186432}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Outside Devinder Collections, Shankar Market, Connaught Place, \xa0New Delhi- 110001",110001.0,15 KW,Delhi,23:59:00,9.5,India,28.633733,77.22353,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.633733, 'longitude': 77.22353}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Opposite HDFC Bank, M- Block, \xa0Connaught Place, New Delhi- 110001",110001.0,15 KW,Delhi,23:59:00,9.5,India,28.632973,77.222937,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.632973, 'longitude': 77.222937}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, Near NDMC Office, \xa0Fire Brigade Lane, Barakhamba, \xa0New Delhi- 110001",110001.0,15 KW,Delhi,23:59:00,9.5,India,28.630256,77.225668,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.630256, 'longitude': 77.225668}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, \xa0Opposite South Indian Bank, Block E, \xa0RR6, Middle Circle, Connaught Place, \xa0New Delhi- 110001",110001.0,15 KW,Delhi,23:59:00,9.5,India,28.63363,77.221949,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.63363, 'longitude': 77.221949}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, \xa0Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, \xa0New Delhi- 110001",110001.0,15 KW,Delhi,23:59:00,9.5,India,28.633867,77.22191,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.633867, 'longitude': 77.22191}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, \xa0Outside Oriental Bank, Radial Road No. 7, \xa0Block M, Middle Circe, Connaught Place, \xa0New Delhi- 110001",110001.0,15 KW,Delhi,23:59:00,9.5,India,28.6001517,77.2157617,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.6001517, 'longitude': 77.2157617}",00:00:00 - 23:59:00,1.0,Charging Station
"NDMC Parking, \xa0Opposite HP Petrol Pump, Block E, RR7, Middle Circle, Connaught Place, New Delhi- 110001",110001.0,15 KW,Delhi,23:59:00,9.5,India,28.631584,77.2219,00:00:00,Payment Gateway/e-Wallet,Unstaffed,1.0,DC-001,,,EESL,Charging,,,"{'latitude': 28.631584, 'longitude': 77.2219}",00:00:00 - 23:59:00,1.0,Charging Station
