,Rickshaw Name,Dimensions & Capacity - Ground Clearance,Dimensions & Capacity - Kerb Weight,Body & Suspension - Chassis,Engine & Transmission - Power,Dimensions & Capacity - Height,Dimensions & Capacity - Length,Dimensions & Capacity - Wheelbase,Dimensions & Capacity - Width,Performance & Drivetrain - Max Speed,Price (in Lakh)
25,mini-metro Red E Rickshaw,175.79,358.79,4,5.32,1769.47,2740.89,2046.0,1069.09,25.0,1.15
26,gem-ev Prince Pro,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,3.59
27,dabang Dabang Pro E Rickshaw,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,3.99
28,dabang Dabang Pro 1000 SS,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,1.53
29,gayam-motors Urban ET,165.0,358.79,5,5.32,1740.0,2700.0,2070.0,1280.0,55.0,0.9
30,udaan DLX Udaan,175.79,214.0,0,5.32,1769.47,2740.89,2046.0,1069.09,29.6,1.25
31,gayam-motors eShaft,165.0,358.79,5,5.32,1760.0,2630.0,2046.0,1260.0,29.6,1.3
32,mini-metro M1 MS Battery Operated E Rickshaw,175.79,358.79,5,5.32,1772.0,2650.0,2046.0,970.0,25.0,1.71
33,saarthi Green Shaktimaan E Rickshaw,175.79,358.79,3,5.32,1765.0,2740.89,2046.0,1069.09,29.6,2.92
34,saarthi Yellow Shaktimaan E Rickshaw,175.79,358.79,3,5.32,1765.0,2740.89,2046.0,1069.09,29.6,4.95
35,saarthi Pink Shaktimaan E Rickshaw,175.79,358.79,3,5.32,1765.0,2780.0,2046.0,995.0,29.6,1.56
36,saarthi Golden Shaktimaan E Rickshaw,175.79,358.79,3,5.32,1765.0,2780.0,2046.0,995.0,29.6,1.31
37,mini-metro Gold Rickshaw,175.79,358.79,5,5.32,1772.0,2650.0,2046.0,970.0,22.0,8.11
38,mini-metro V2 SS,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,22.0,0.6
39,mini-metro Gold SS Battery Operated E Rickshaw,175.79,358.79,5,5.32,1772.0,2650.0,2046.0,970.0,22.0,0.6
40,jezza-motors Super J1000,175.79,358.79,0,5.32,1780.0,2740.89,2046.0,1069.09,29.6,1.45
41,saarthi Red Shaktimaan E Rickshaw,175.79,358.79,3,5.32,1765.0,2740.89,2046.0,1069.09,29.6,3.25
42,e-ashwa E-Auto,175.79,358.79,0,5.32,1870.0,2740.89,2046.0,1069.09,29.6,1.35
43,eblu Rozee,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,1.45
44,keto-motors Trilux 1.0,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,1.25
45,deltic Vista,175.79,358.79,5,5.32,1790.0,2790.0,2046.0,990.0,24.96,1.7
46,deltic Star Pro,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,1.08
47,joy e-Rickshaw L5M,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,3.94
48,jsa E Rickshaw,175.79,358.79,5,5.32,1780.0,2720.0,2046.0,980.0,25.0,1.2
49,mini-metro E Rickshaw,175.79,358.79,5,5.32,1772.0,2650.0,2046.0,970.0,22.0,1.2
50,baba-electric E Rickshaw,175.79,358.79,5,5.32,1780.0,2720.0,2046.0,980.0,25.0,1.2
51,bahubali-e-rickshaw Bahubali Plus,175.79,358.79,5,5.32,1740.0,2740.0,2050.0,990.0,29.6,0.98
52,dabang Auto Shaped,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,1.35
